Facility,Facility Type,Location,BU/Network,Region,Market/Type,Facility Manager,Academy #,Academy Address,Phone Number,Academy Leader,Academy Coordinator,Academy Sr. Manager,Academy Director,Academy location
74,WM SUPERCENTER,2720 W KEISER AVE OSCEOLA AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,ALAN SNIDER,950,8400 US HIGHWAY 64 BARTLETT TN 38133,(901) 666-4136,Lonnie Cravens,BRITTANY HUCKABEE,Beth Wiseman,Sherry Brown,Academy is located in building at far end of parking lot in front of Garden center entrance. 
75,WM SUPERCENTER,3636 MONROE HWY PINEVILLE LA,SOUTHWEST BU - PAUL LEWELLEN,13 - TRAVIS BAILEY,134 - RACHEL NASH,BLAIR MCMANUS,415,123 SAINT NAZAIRE RD BROUSSARD LA 70518,(337) 252-4025,Sarah Stepanian,Stephanie Nero,Elayni Points,Keri Peck,Academy is located in the backroom just past the associate lounge.
76,WM SUPERCENTER,1000 W TRIMBLE AVE BERRYVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,322 - SHEILA INGLE,STEPHANIE SMITH,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
77,WM SUPERCENTER,3701 N MAIN ST TAYLOR TX,SOUTHWEST BU - PAUL LEWELLEN,7 - JESSICA VILLANUEVA,83 - MICHAEL VAN DE WEGE,CHAD TYWATER,2991,201 WALTON WAY CEDAR PARK TX 78613,(512) 690-9554,Annie Guest,Ruth Sanchez,Katrina Sampson,Keri Peck,Academy is located between the garden center and Murphy's. Red brick building
78,WM SUPERCENTER,14740 STATE HIGHWAY 38 MARSHFIELD MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,357 - ROBIN TORRETTA,AMANDA KING,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
79,WM SUPERCENTER,2623 W 7TH ST JOPLIN MO,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,334 - VICKY LUMAN,DAVID WARDEN,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
80,WM SUPERCENTER,3001 W BROADWAY COLUMBIA MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,359 - DERRICK BRENTLINGER,MELISSA HALL,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
81,WM SUPERCENTER,84127 HIGHWAY 59 STILWELL OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,N/A,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
82,WM SUPERCENTER,1750 S PERRYVILLE BLVD PERRYVILLE MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,BRAD WISDOM,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
83,WM SUPERCENTER,60 HIGHWAY 79 N MAGNOLIA AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,327 - KATINA STOUDER,ALEX BURNS,87,1379 HOMER RD MINDEN LA 71055,(318) 639-6039,Leah Revies,Frankie Rogers,Rob Gray,Keri Peck,Academy is located in a separate (modular) building in the Grocery parking lot.
84,WM SUPERCENTER,3680 W SHAW AVE. FRESNO CA,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
85,WM SUPERCENTER,17309 INTERSTATE 30 S BENTON AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,324 - JON BALL,CALEB CRAIN,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
86,WM SUPERCENTER,2825 N KANSAS EXPY SPRINGFIELD MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,357 - ROBIN TORRETTA,JEFF HULLAND,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
87,WM SUPERCENTER,1379 HOMER RD MINDEN LA,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,127 - MARK HANKINS,RONALD GRAY,87,1379 HOMER RD MINDEN LA 71055,(318) 639-6039,Leah Revies,Frankie Rogers,Rob Gray,Keri Peck,Academy is located in a separate (modular) building in the Grocery parking lot.
88,WM SUPERCENTER,2100 N MAIN AVE MOUNTAIN GROVE MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,357 - ROBIN TORRETTA,ELISHA DICKENS,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
89,WM SUPERCENTER,94 CECIL ST CAMDENTON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,336 - DAWN WHEELER,PAUL GARDNER,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
90,WM SUPERCENTER,2115 S MAIN ST GROVE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,STONEY HAYES,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
91,WM SUPERCENTER,205 DEADRICK RD FORREST CITY AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,FELICIA SWANIGAN,950,8400 US HIGHWAY 64 BARTLETT TN 38133,(901) 666-4136,Lonnie Cravens,BRITTANY HUCKABEE,Beth Wiseman,Sherry Brown,Academy is located in building at far end of parking lot in front of Garden center entrance. 
92,WM SUPERCENTER,3020 S ELLIOTT AVE AURORA MO,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,334 - VICKY LUMAN,BRANDON SHRIMPLIN,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
93,WM SUPERCENTER,201 LANNY BRIDGES AVE COVINGTON TN,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,146 - ADAM STEELE,GHADA SAYED,177,1210 MINERAL WELLS AVE PARIS TN 38242,(731) 227-5300,Charlie Edmondson,Janet Kuenzle,Beth Wiseman,Sherry Brown,"Academy is located in modular unit located outside, next to grocery  side of the building "
94,WM SUPERCENTER,8445 US HIGHWAY 51 N MILLINGTON TN,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,145 - COY JACKSON,TIFFANY RITTER,950,8400 US HIGHWAY 64 BARTLETT TN 38133,(901) 666-4136,Lonnie Cravens,BRITTANY HUCKABEE,Beth Wiseman,Sherry Brown,Academy is located in building at far end of parking lot in front of Garden center entrance. 
95,WM SUPERCENTER,407 N STATE ST DESLOGE MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,REBECCA PLANCARTE,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
96,WM SUPERCENTER,1700 N STATE ROUTE 291 HARRISONVILLE MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,361 - MARK HELLER,LINDSEY NIAMAT,2855,16100 W 65TH ST SHAWNEE KS 66217,(913) 268-2999,Brett Shelton,Shelly Miller,Monte Summerlin,Keri Peck,Academy is located in the GM backroom near Entertainment
97,WM SUPERCENTER,628 HIGHWAY 51 N RIPLEY TN,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,146 - ADAM STEELE,N/A,177,1210 MINERAL WELLS AVE PARIS TN 38242,(731) 227-5300,Charlie Edmondson,Janet Kuenzle,Beth Wiseman,Sherry Brown,"Academy is located in modular unit located outside, next to grocery  side of the building "
98,WM SUPERCENTER,6091 MER ROUGE RD BASTROP LA,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,135 - BRIAN DUCOTE',JAMES WILLIAMS,87,1379 HOMER RD MINDEN LA 71055,(318) 639-6039,Leah Revies,Frankie Rogers,Rob Gray,Keri Peck,Academy is located in a separate (modular) building in the Grocery parking lot.
99,WM SUPERCENTER,1445 E CENTRAL CT UNION MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,340 - DOUGLAS MOON,ELIZABETH REED,2213,3270 TELEGRAPH RD SAINT LOUIS MO 63125,(314) 649-1012,Krystal George,Bobbette Hoffman,Beth Wiseman,Sherry Brown,Academy is located in the backroom on the grocery side of the building.
100,WM SUPERCENTER,406 S WALTON BLVD BENTONVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,323 - DARRELL ARNOLD,KACEY WARD,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
101,WM SUPERCENTER,500 S BISHOP AVE ROLLA MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,336 - DAWN WHEELER,CANDACE BOWLING,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
102,WM SUPERCENTER,406 E 22ND ST STUTTGART AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,327 - KATINA STOUDER,KEVIN NEWTON,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
103,WM SUPERCENTER,196 SHAWNEE MALL DR SHAWNEE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,351 - WESTY BERNHARDT,LAURA GREEN,544,5401 TINKER DIAGONAL ST DEL CITY OK 73115,(405) 200-0272,Jesse Dean,Trudy Williams,Rob Gray,Keri Peck,Academy is located behind sporting goods on the General Merchandise side of the building.
104,WM SUPERCENTER,15427 S FIRST ST MILAN TN,SOUTHEAST BU - NICK BERKELEY,11 - N/A,146 - ADAM STEELE,KYLE BALDING,177,1210 MINERAL WELLS AVE PARIS TN 38242,(731) 227-5300,Charlie Edmondson,Janet Kuenzle,Beth Wiseman,Sherry Brown,"Academy is located in modular unit located outside, next to grocery  side of the building "
105,WM SUPERCENTER,2301 S HARPER RD CORINTH MS,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,4 - JULIE PROSSER,AMANDA MILLER,164,100 MCCORD RD PONTOTOC MS 38863,(662) 509-5005,Charles Rushing,Tonya Scarbrough,Beth Wiseman,Sherry Brown,Academy is located in a seperate (modular) building across from the OGP pickup area
106,WM SUPERCENTER,1405 MIDDLE RD FULTON KY,SOUTHEAST BU - NICK BERKELEY,11 - N/A,146 - ADAM STEELE,JASON ADCOCK,177,1210 MINERAL WELLS AVE PARIS TN 38242,(731) 227-5300,Charlie Edmondson,Janet Kuenzle,Beth Wiseman,Sherry Brown,"Academy is located in modular unit located outside, next to grocery  side of the building "
107,WM SUPERCENTER,134 COURTRIGHT RD MARTIN TN,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,146 - ADAM STEELE,SCOTTY SIMMONS,177,1210 MINERAL WELLS AVE PARIS TN 38242,(731) 227-5300,Charlie Edmondson,Janet Kuenzle,Beth Wiseman,Sherry Brown,"Academy is located in modular unit located outside, next to grocery  side of the building "
108,WM SUPERCENTER,1608 S DIVISION ST GUTHRIE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,344 - RYAN HEMBREE,MICHAEL HAND,108,1608 S DIVISION ST GUTHRIE OK 73044,(405) 346-6012,NATALIA HARMON,Deborah Clutter,Rob Gray,Keri Peck,Academy is located in the Garden Center on the General Merchandise side of the building.
109,WM SUPERCENTER,2000 N WALNUT ST CAMERON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,360 - BRADLEY MCBRYDE,ASHELY VAUGHT,234,8301 N CHURCH RD KANSAS CITY MO 64158,(816) 439-4186,Dale Dinwiddie,REG HAMILTON,Monte Summerlin,Keri Peck,Academy is located in the grocery backroom near Dairy
110,WM SUPERCENTER,16313 NEW INDEPENDENCE PARKWAY WINTER GARDEN FL,SOUTHEAST BU - NICK BERKELEY,3 - ABIGAIL BELOBRAYDIC,89 - N/A,DAVID RIOS,2695,1450 JOHNS LAKE RD CLERMONT FL 34711,352-243-6151,Jessica Ruggiera,Chaveli Watson,Shane Rutherford,Sherry Brown,.
111,WM SUPERCENTER,2700 S SANTA FE AVE CHANUTE KS,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,410 - TRAVIS MOORE,SHANE FIENE,72,2710 N BROADWAY ST PITTSBURG KS 66762,(620) 230-0037,Missy Hagedorn,Jodie Stephens,Rob Gray,Keri Peck,Academy is located in a separate building behind store 2707 N. Joplin Street
112,WM SUPERCENTER,1010 HIGHWAY 12 W STARKVILLE MS,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,138 - MELVIN SEARCY,JAMES LIPSCOMB,164,100 MCCORD RD PONTOTOC MS 38863,(662) 509-5005,Charles Rushing,Tonya Scarbrough,Beth Wiseman,Sherry Brown,Academy is located in a seperate (modular) building across from the OGP pickup area
113,WM SUPERCENTER,2001 S 1ST ST CHICKASHA OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,349 - APRIL NORTHCLIFF,RYAN HARMS,269,1002 NW SHERIDAN RD LAWTON OK 73505,(580) 713-7766,Thomas Wood,Susan Sass,Rob Gray,Keri Peck,Academy located at the back of the store. Enter through double doors in crafts and take a left.
114,WM SUPERCENTER,300 WALMART CIR BOONEVILLE MS,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,4 - JULIE PROSSER,DONNA BOX,164,100 MCCORD RD PONTOTOC MS 38863,(662) 509-5005,Charles Rushing,Tonya Scarbrough,Beth Wiseman,Sherry Brown,Academy is located in a seperate (modular) building across from the OGP pickup area
115,WM SUPERCENTER,5509 HIGHWAY 45 ALT S WEST POINT MS,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,138 - MELVIN SEARCY,ARTLEY LYNN,164,100 MCCORD RD PONTOTOC MS 38863,(662) 509-5005,Charles Rushing,Tonya Scarbrough,Beth Wiseman,Sherry Brown,Academy is located in a seperate (modular) building across from the OGP pickup area
116,WAL-MART,929 S PINE ST VIVIAN LA,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,127 - MARK HANKINS,WILLIAM COONER,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
117,WAL-MART,501 S PARK DR BROKEN BOW OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,47 - RONNIE ANDERSON,TERESA YOUNG,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
118,WM SUPERCENTER,1515 HIGHWAY 278 E AMORY MS,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,4 - JULIE PROSSER,SHANNON MOORE,164,100 MCCORD RD PONTOTOC MS 38863,(662) 509-5005,Charles Rushing,Tonya Scarbrough,Beth Wiseman,Sherry Brown,Academy is located in a seperate (modular) building across from the OGP pickup area
119,WM SUPERCENTER,3150 HARRISON ST BATESVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,328 - JEFF WARD,CLINT GARRETT,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
120,WM SUPERCENTER,2716 N CENTRAL AVE HUMBOLDT TN,SOUTHEAST BU - NICK BERKELEY,11 - N/A,146 - ADAM STEELE,JOHN-DAVID HOOD,177,1210 MINERAL WELLS AVE PARIS TN 38242,(731) 227-5300,Charlie Edmondson,Janet Kuenzle,Beth Wiseman,Sherry Brown,"Academy is located in modular unit located outside, next to grocery  side of the building "
121,WM SUPERCENTER,1800 S WOOD DR OKMULGEE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,351 - WESTY BERNHARDT,RUSSELL MOORE,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
122,WM SUPERCENTER,3051 E JACKSON BLVD JACKSON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,JESSE BACHMANN,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
123,WM SUPERCENTER,1500 E WRANGLER BLVD SEMINOLE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,351 - WESTY BERNHARDT,ERIC BRYAN,544,5401 TINKER DIAGONAL ST DEL CITY OK 73115,(405) 200-0272,Jesse Dean,Trudy Williams,Rob Gray,Keri Peck,Academy is located behind sporting goods on the General Merchandise side of the building.
124,WM SUPERCENTER,8801 BASELINE RD LITTLE ROCK AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,324 - JON BALL,PHILLIP JONES,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
125,WM SUPERCENTER,2425 S ZERO ST FORT SMITH AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,321 - JAMES PHILLIPS,WILLIAM VERDIER,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
126,WM SUPERCENTER,2700 S SHACKLEFORD RD LITTLE ROCK AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,324 - JON BALL,KIANA CARTER,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
127,WM SUPERCENTER,1910 MARTIN LUTHER KING BLVD MALVERN AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,325 - JAMES LANE,AUDRA STROTHER,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
128,WM SUPERCENTER,1911 W PARKER RD JONESBORO AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,JASON MCARTHUR,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
129,WM SUPERCENTER,1715 N COMMERCE ST ARDMORE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,350 - VICKIE MCINTYRE,SUMMER WILLIS,1216,1213 E TRINITY MILLS RD CARROLLTON TX 75006,(972) 236-1149,Eric Curry,David Scheibe,Katrina Sampson,Keri Peck,Academy is located inside the building in grocery receiving with an entrance by dairy
130,WM SUPERCENTER,1000 W SHAWNEE ST MUSKOGEE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,PHILLIP CRUMBLISS,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
131,WM SUPERCENTER,2311 S JEFFERSON AVE MOUNT PLEASANT TX,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,47 - RONNIE ANDERSON,CARRIE MAHON,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
132,WM SUPERCENTER,200 STARLITE DR KINGFISHER OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,344 - RYAN HEMBREE,GRETCHEN PHELPS,108,1608 S DIVISION ST GUTHRIE OK 73044,(405) 346-6012,NATALIA HARMON,Deborah Clutter,Rob Gray,Keri Peck,Academy is located in the Garden Center on the General Merchandise side of the building.
133,WM SUPERCENTER,297 HWY 32 BY-PASS E ASHDOWN AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,325 - JAMES LANE,SHERELL MURPHY,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
134,WM SUPERCENTER,210 REGIONAL DR ELK CITY OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,344 - RYAN HEMBREE,MICHAEL ALONZO,269,1002 NW SHERIDAN RD LAWTON OK 73505,(580) 713-7766,Thomas Wood,Susan Sass,Rob Gray,Keri Peck,Academy located at the back of the store. Enter through double doors in crafts and take a left.
135,WM SUPERCENTER,1000 GRAVES ST CHILLICOTHE MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,360 - BRADLEY MCBRYDE,MICHAEL FLEENER,234,8301 N CHURCH RD KANSAS CITY MO 64158,(816) 439-4186,Dale Dinwiddie,REG HAMILTON,Monte Summerlin,Keri Peck,Academy is located in the grocery backroom near Dairy
136,WAL-MART,1219 W DOOLIN AVE BLACKWELL OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,345 - JAY GARRISON,DANIEL CRUZAN,108,1608 S DIVISION ST GUTHRIE OK 73044,(405) 346-6012,NATALIA HARMON,Deborah Clutter,Rob Gray,Keri Peck,Academy is located in the Garden Center on the General Merchandise side of the building.
137,WM SUPERCENTER,111 N PERKINS RD STILLWATER OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,352 - N/A,DAVID MOONEYHAN,108,1608 S DIVISION ST GUTHRIE OK 73044,(405) 346-6012,NATALIA HARMON,Deborah Clutter,Rob Gray,Keri Peck,Academy is located in the Garden Center on the General Merchandise side of the building.
138,WM SUPERCENTER,1923 E KEARNEY ST SPRINGFIELD MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,357 - ROBIN TORRETTA,JEDEDIAH SMITH,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
139,WM SUPERCENTER,2015 S GREEN AVE PURCELL OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,353 - DONNA LEMONS,JOHN SANDERS,544,5401 TINKER DIAGONAL ST DEL CITY OK 73115,(405) 200-0272,Jesse Dean,Trudy Williams,Rob Gray,Keri Peck,Academy is located behind sporting goods on the General Merchandise side of the building.
140,WM SUPERCENTER,2500 DANIEL MCCALL DR LUFKIN TX,SOUTHWEST BU - PAUL LEWELLEN,13 - TRAVIS BAILEY,503 - ADAN DAVILA,PATRICK CHERRY,3828,4006 ESTES PKWY LONGVIEW TX 75603,(903) 553-9931,Pam Calhoun,Jennifer Cook,Rob Gray,Keri Peck,Academy is located inside the building in GM backroom with an entrance by Toys
141,WM SUPERCENTER,8301 ROGERS AVE FORT SMITH AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,321 - JAMES PHILLIPS,BRYAN FLOREN,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
