Primary,Business Domain,Data Group ,,,,
English,Finance,Financial Information,Published Global Chart of Accounts,Sensitive,Business Information,Global
English,Finance,Financial Information,Intercompany Transactions,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Invoices (GFR),Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Invoices (GNFR),Sensitive,Business Information,Global
English,Finance,Financial Information,Journal Entries,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Legal Entities,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Liabilities and Debt,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Location and Profit Center/Cost Center,Sensitive,Business Information,Global
English,Finance,Financial Information,Operating Expenses,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Operating Units / Reporting Segments,Sensitive,Business Information,Global
English,Finance,Financial Information,Payments and Disbursements,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Tender and Payments (Cash， credit cards， WIC， etc.),Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Trading Partners,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Treasury,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Returns,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Sensitive financial data that has not been publicly released and cannot be aggregated to show total company performance prior to an earnings report,Sensitive,Business Information,Global
English,Finance,Financial Information,Financial data (e.g.， account balance， payment， overdraft history， and credit/debit card purchases),Sensitive,Personal Information,South Africa
English,Finance,Financial Information,Other account number not previously listed,Sensitive,Personal Information,South Africa
English,Finance,Global Tax,Published Tax Obligation (e.g. Federal Tax， International Tax， etc.),Non-Sensitive,Business Information,Global
English,Finance,Global Tax,Unpublished Tax Obligation (e.g. Federal Tax， International Tax， etc.),Highly Sensitive,Business Information,Global
English,Finance,Global Tax,State Income Tax Compliance,Sensitive,Business Information,Global
English,Finance,Global Tax,Sales and Use Tax Refunds,Sensitive,Business Information,Global
English,Finance,Global Tax,Sales Tax - Planning and Store Ops,Sensitive,Business Information,Global
English,Finance,Global Tax,Sales Tax Audit Defense,Highly Sensitive,Business Information,Global
English,Finance,Global Tax,Sales Tax Compliance,Highly Sensitive,Business Information,Global
English,Finance,Global Treasury,Global Treasure,Highly Sensitive,Business Information,Global
English,Finance,Global Treasury,Treasury Operations,Highly Sensitive,Business Information,Global
English,Finance,Global Treasury,Capital Markets,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Data analytics or insights ,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Company sales volume or data by channel or market,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Information used to prepare Annual Reports or Financial Reports ,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Internal Audit Reports  ,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Publicly disclosed Legal Entity Organization charts ,Non-Sensitive,Business Information,Global
English,Finance,Institutional Information,Internal Legal Entity Organization charts ,Highly Sensitive,Business Information,Global
English,Finance,Investor Relations,Investor and Public Relations,Highly Sensitive,Business Information,Global
English,Finance,Investor Relations,Quarterly Reporting,Highly Sensitive,Business Information,Global
English,Finance,M&A Integration & Domestic Planning,Domestic Planning,Highly Sensitive,Business Information,Global
English,Finance,M&A Integration & Domestic Planning,Integrations,Highly Sensitive,Business Information,Global
English,Finance,M&A Integration & Domestic Planning,Tax Policy,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Accounting details or data ,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Planned or considered Mergers & Acquisitions， Purchase/Acquisitions or Divesture/Sales or Closures ,Highly Sensitive,Business Information,Global
English,Health and Wellness,Employment information,Medical notes and other associate health information,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Alcohol and drug test results ,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Health Products,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Health Equipment,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Exercise data ,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Family Health or morbidity history,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Genetic test results or information ,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Health insurance identification or account number,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Personal / household insurance information,Sensitive,Personal information,South Africa
English,Health and Wellness,Health and Health Insurance Information,Healthcare payment information,Highly Sensitive,Personal Information,Global
