Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
SOUTHWEST BU,"44 - Oklahoma, N TX",350,129,5.1%,-4.9%,-0.1%,-4.1%,0:21:53,0:22:01,0:34:21,0:33:44,0:36:57,0:35:00,75.4%,64.4%,-3.0%,-21.9%,-2.8%,-13.8%,0.6%,4.6%,"1,587","2,186"
SOUTHWEST BU,"44 - Oklahoma, N TX",347,130,15.3%,9.0%,3.9%,1.0%,0:25:49,0:27:17,0:39:18,0:41:39,0:33:06,0:33:20,50.0%,52.5%,-3.6%,-1.4%,19.7%,11.8%,1.9%,8.2%,"1,564","1,856"
SOUTHWEST BU,"44 - Oklahoma, N TX",47,131,-3.3%,-2.3%,3.3%,7.5%,0:22:13,0:23:44,0:43:16,0:44:44,0:25:02,0:26:45,64.1%,61.0%,-71.5%,-72.3%,-7.6%,-8.4%,7.1%,8.2%,"2,291","2,296"
NORTH BU,40 - Missouri,360,135,-7.2%,-14.4%,-4.7%,-10.2%,0:21:12,0:21:28,0:32:28,0:31:49,0:31:37,0:31:31,54.2%,59.5%,-28.9%,-14.8%,-14.3%,-17.5%,10.2%,-2.0%,"2,451","2,452"
SOUTHWEST BU,"44 - Oklahoma, N TX",352,137,7.7%,4.8%,15.4%,14.5%,0:17:26,0:19:13,0:32:14,0:33:09,0:16:09,0:15:58,82.1%,81.2%,-64.1%,-66.1%,1.7%,1.9%,19.5%,17.4%,226,249
NORTH BU,40 - Missouri,357,138,3.9%,-3.7%,-3.0%,-12.0%,0:26:57,0:34:48,0:30:18,0:36:01,0:26:23,0:28:46,41.9%,38.1%,-7.5%,-40.9%,1.4%,-5.2%,6.2%,-4.0%,"2,240","2,533"
SOUTHWEST BU,"44 - Oklahoma, N TX",353,139,-1.2%,-0.9%,4.2%,1.5%,0:10:18,0:11:36,0:23:55,0:25:39,0:18:17,0:18:51,71.9%,68.4%,-58.2%,-2.6%,-5.0%,0.2%,1.0%,1.1%,"1,139","1,290"
SOUTHWEST BU,"13 - LA, MS",503,140,13.9%,9.2%,15.5%,13.3%,0:24:13,0:22:44,0:36:33,0:36:33,0:21:21,0:21:08,65.9%,66.3%,108.3%,123.9%,19.1%,14.3%,22.7%,18.1%,103,80
SOUTHEAST BU,"42 - AR, MO, LA",321,141,4.9%,5.2%,9.7%,3.6%,0:17:02,0:17:19,0:31:56,0:34:06,0:22:29,0:22:21,96.2%,89.6%,-13.0%,-30.7%,6.1%,5.0%,7.3%,0.4%,302,320
NORTH BU,41 - Indy / KY,253,143,-3.7%,3.7%,3.2%,7.8%,0:07:47,0:07:36,0:18:39,0:20:37,0:14:47,0:14:53,91.4%,93.3%,-28.3%,-24.0%,-17.3%,-1.8%,6.0%,8.1%,"1,054",645
SOUTHEAST BU,"42 - AR, MO, LA",322,144,-3.4%,-6.7%,6.5%,-2.7%,0:28:53,0:27:57,0:30:45,0:32:06,0:25:58,0:25:59,47.1%,48.5%,1.4%,-0.3%,-12.6%,-13.9%,5.3%,-1.5%,"1,537","1,629"
SOUTHWEST BU,"44 - Oklahoma, N TX",350,147,2.8%,2.9%,3.1%,9.9%,0:22:08,0:18:43,0:36:29,0:33:52,0:31:58,0:29:32,72.5%,70.7%,65.6%,82.0%,-1.4%,0.9%,0.3%,12.1%,"1,816","1,459"
SOUTHWEST BU,"44 - Oklahoma, N TX",47,148,11.7%,7.2%,3.0%,5.3%,0:24:15,0:24:29,0:29:28,0:29:20,0:20:19,0:20:17,51.6%,53.4%,-56.6%,-68.6%,11.2%,9.1%,5.3%,7.4%,978,"1,089"
SOUTHWEST BU,"44 - Oklahoma, N TX",344,150,5.0%,2.5%,-1.6%,-2.8%,0:25:31,0:25:23,0:35:04,0:35:27,0:32:01,0:32:02,72.5%,68.6%,60.7%,82.2%,1.9%,-3.6%,-0.5%,2.2%,"2,266","2,337"
SOUTHWEST BU,"44 - Oklahoma, N TX",350,151,5.8%,6.9%,13.7%,10.4%,0:15:08,0:21:48,0:40:44,0:40:43,0:25:57,0:27:16,91.2%,81.7%,62.0%,8.2%,2.9%,6.0%,16.0%,9.4%,422,703
NORTH BU,40 - Missouri,335,152,0.0%,-4.4%,-4.7%,-6.7%,0:33:39,0:30:25,0:40:52,0:40:09,0:32:03,0:30:55,49.4%,55.5%,-71.0%,-56.9%,8.6%,-0.6%,-5.9%,-1.6%,"2,539","2,545"
SOUTHEAST BU,11 - Memphis,4,153,3.7%,0.6%,-1.8%,-0.9%,0:25:03,0:24:42,0:21:59,0:23:07,0:20:32,0:21:30,63.0%,60.1%,-75.4%,-41.1%,-0.6%,-4.9%,-3.9%,1.6%,"2,017","2,066"
NORTH BU,"20 - VA, OH, PA, WV",311,154,11.8%,8.9%,24.8%,19.9%,0:23:57,0:27:31,0:28:22,0:29:24,0:26:59,0:30:26,45.6%,41.4%,58.8%,4.8%,-3.1%,4.3%,24.7%,15.5%,"1,514","1,615"
SOUTHEAST BU,11 - Memphis,136,155,-5.6%,-0.7%,15.5%,14.3%,0:28:48,0:26:38,0:08:48,0:08:47,0:20:07,0:19:27,31.0%,38.6%,-83.7%,-72.2%,-10.8%,-2.7%,34.6%,16.4%,"2,317","1,971"
SOUTHEAST BU,"42 - AR, MO, LA",328,157,13.0%,-1.2%,-9.6%,-11.4%,0:34:17,0:33:57,0:40:04,0:41:15,0:21:09,0:20:30,57.0%,53.2%,14.4%,-24.4%,19.8%,-4.1%,-12.5%,-9.8%,"1,638","2,255"
NORTH BU,40 - Missouri,359,159,-10.6%,2.7%,-6.7%,1.7%,0:24:19,0:23:46,0:32:45,0:28:52,0:20:14,0:20:13,49.5%,50.8%,-33.6%,-47.0%,-5.8%,-2.9%,-3.9%,19.8%,"2,466","2,170"
SOUTHEAST BU,"42 - AR, MO, LA",328,160,6.5%,-3.2%,11.6%,6.8%,0:33:41,0:31:59,0:25:54,0:26:27,0:19:05,0:18:29,57.0%,61.7%,-9.8%,-14.9%,9.3%,-4.0%,6.5%,7.8%,"1,057","1,437"
SOUTHWEST BU,"13 - LA, MS",503,163,16.9%,8.5%,9.9%,3.2%,0:27:37,0:32:57,0:34:28,0:35:54,0:14:00,0:13:08,49.7%,51.7%,-46.9%,-56.6%,19.4%,14.5%,15.8%,6.3%,794,"1,340"
SOUTHEAST BU,11 - Memphis,4,164,-3.8%,-0.1%,-3.6%,-1.2%,0:22:16,0:23:35,0:24:42,0:24:30,0:20:56,0:20:37,57.4%,61.7%,11.8%,73.9%,-10.7%,-6.0%,7.2%,6.9%,"1,856","1,230"
SOUTHWEST BU,"13 - LA, MS",46,165,17.7%,4.0%,9.5%,5.5%,0:13:19,0:14:43,0:25:18,0:25:42,0:16:03,0:17:50,60.0%,62.8%,65.6%,86.2%,25.9%,6.3%,15.1%,6.5%,557,"1,263"
SOUTHEAST BU,"42 - AR, MO, LA",327,167,-12.0%,-4.3%,0.2%,-4.3%,0:11:33,0:14:39,0:25:31,0:27:18,0:21:08,0:24:04,55.0%,56.3%,-60.1%,-69.6%,-25.9%,-6.7%,3.3%,-8.5%,"2,347","2,420"
SOUTHWEST BU,"44 - Oklahoma, N TX",345,168,7.7%,1.2%,4.0%,-5.1%,0:25:12,0:30:16,0:37:54,0:42:15,0:26:45,0:25:21,66.0%,66.3%,-44.5%,-34.6%,12.0%,-5.5%,-3.3%,-9.8%,"1,470","1,989"
SOUTHWEST BU,"13 - LA, MS",134,170,8.1%,7.9%,13.3%,5.6%,0:08:12,0:07:46,0:16:25,0:16:33,0:15:56,0:15:31,60.4%,72.5%,-84.1%,-93.7%,1.7%,6.3%,27.1%,12.3%,618,375
SOUTHEAST BU,"42 - AR, MO, LA",327,171,0.2%,-5.6%,-8.0%,-8.1%,0:20:06,0:20:17,0:22:09,0:21:44,0:24:31,0:22:28,43.8%,48.5%,-77.2%,-69.0%,-9.5%,-14.5%,-2.0%,-2.5%,"2,485","2,507"
NORTH BU,40 - Missouri,340,172,12.6%,12.5%,6.2%,8.3%,0:38:53,0:44:17,0:37:11,0:40:07,0:26:07,0:26:54,47.8%,44.0%,-7.5%,8.4%,11.9%,10.8%,13.8%,14.9%,876,"1,165"
SOUTHEAST BU,09 - S. Florida,92,174,2.9%,4.6%,-10.1%,-3.7%,0:15:50,0:16:47,0:25:22,0:26:49,0:19:35,0:19:58,63.2%,62.3%,-34.3%,-22.5%,-11.4%,1.9%,-9.2%,-6.7%,577,477
SOUTHEAST BU,11 - Memphis,144,175,5.3%,8.2%,12.5%,10.8%,0:30:58,0:29:48,0:29:40,0:31:59,0:23:50,0:24:15,39.1%,39.1%,-16.3%,-11.6%,2.5%,5.6%,10.3%,13.9%,"2,043","1,950"
SOUTHEAST BU,11 - Memphis,146,177,2.2%,5.4%,7.5%,10.2%,0:23:11,0:28:26,0:30:27,0:25:21,0:27:40,0:26:36,79.5%,66.9%,-50.8%,6.0%,-4.1%,5.5%,16.9%,7.4%,904,561
NORTH BU,40 - Missouri,357,179,-3.7%,-3.7%,-2.0%,3.9%,0:28:35,0:30:18,0:30:51,0:35:24,0:26:38,0:27:25,53.6%,56.0%,-15.1%,1.0%,-3.9%,-10.0%,-4.2%,1.4%,"1,983","1,782"
SOUTHWEST BU,"13 - LA, MS",46,180,-0.2%,1.2%,-2.8%,-1.3%,0:23:15,0:23:23,0:30:30,0:32:22,0:22:35,0:22:18,52.5%,55.0%,-3.6%,-8.7%,-13.1%,0.5%,0.9%,-0.2%,"2,334","2,175"
SOUTHWEST BU,"44 - Oklahoma, N TX",47,181,25.6%,11.9%,29.1%,12.6%,0:09:35,0:10:50,0:18:58,0:19:06,0:11:38,0:11:52,90.3%,86.8%,68.0%,65.6%,18.4%,10.2%,15.5%,4.7%,75,187
SOUTHEAST BU,11 - Memphis,136,182,2.6%,4.5%,-4.2%,-3.4%,0:20:45,0:27:23,0:18:02,0:20:40,0:22:20,0:22:15,65.5%,53.5%,-36.5%,-56.8%,-10.7%,0.1%,-4.7%,-7.6%,"1,659","1,777"
NORTH BU,40 - Missouri,361,184,-3.5%,-4.0%,10.9%,0.4%,0:33:06,0:34:26,0:17:00,0:19:25,0:29:44,0:29:06,53.9%,49.8%,37.5%,-4.0%,-14.1%,-19.1%,54.5%,36.2%,"1,401","1,741"
SOUTHWEST BU,"44 - Oklahoma, N TX",350,185,1.7%,0.5%,5.2%,5.2%,0:17:19,0:19:30,0:26:19,0:26:43,0:12:04,0:12:38,67.1%,57.8%,235.6%,134.8%,-10.6%,-11.1%,7.0%,4.4%,475,807
SOUTHWEST BU,"44 - Oklahoma, N TX",409,186,14.2%,9.3%,1.3%,5.7%,0:16:18,0:21:03,0:29:00,0:31:41,0:18:20,0:18:34,73.6%,73.8%,-64.3%,-31.3%,26.9%,16.8%,0.9%,5.3%,835,778
NORTH BU,40 - Missouri,335,188,14.3%,9.4%,8.2%,7.8%,0:32:49,0:33:38,0:34:24,0:34:03,0:22:18,0:22:46,44.4%,48.6%,7.9%,78.9%,31.5%,11.4%,4.3%,11.4%,742,734
NORTH BU,40 - Missouri,359,189,-7.8%,-7.0%,-8.9%,-8.0%,0:20:28,0:26:18,0:25:08,0:26:45,0:16:19,0:17:42,51.8%,50.9%,-50.9%,-54.0%,-15.3%,-11.1%,3.4%,-1.5%,"2,360","2,456"
SOUTHEAST BU,11 - Memphis,329,190,11.5%,0.3%,7.6%,1.3%,0:10:17,0:12:24,0:18:11,0:18:32,0:16:25,0:16:13,78.4%,66.4%,-58.1%,-47.3%,4.7%,-3.7%,2.6%,-5.9%,222,943
SOUTHEAST BU,12 - Nashville,153,192,17.6%,10.5%,31.2%,19.0%,0:13:09,0:18:06,0:33:55,0:38:39,0:31:54,0:31:14,78.2%,72.8%,-39.7%,-8.2%,12.9%,1.0%,33.0%,27.2%,10,39
SOUTHWEST BU,06 - South Texas,60,194,18.9%,12.4%,10.4%,10.1%,0:24:11,0:25:19,0:32:39,0:34:26,0:18:45,0:18:56,59.4%,61.4%,16.6%,-9.9%,29.1%,14.5%,9.9%,9.5%,150,229
NORTH BU,40 - Missouri,360,195,7.6%,10.4%,4.0%,7.3%,0:11:02,0:12:30,0:19:04,0:20:32,0:18:30,0:19:27,76.8%,75.7%,15.3%,-27.9%,8.5%,9.4%,7.9%,10.8%,825,662
NORTH BU,41 - Indy / KY,271,196,13.2%,10.6%,17.7%,7.1%,0:14:35,0:16:25,0:33:20,0:34:08,0:23:48,0:24:29,74.8%,74.3%,-14.2%,-6.6%,20.1%,10.9%,15.8%,7.0%,626,920
NORTH BU,25 - Chicago / IL,278,197,14.7%,-0.4%,3.1%,3.5%,0:18:41,0:20:00,0:37:04,0:33:49,0:27:34,0:27:50,83.0%,78.3%,-41.1%,-32.2%,8.1%,-5.8%,18.4%,13.0%,143,590
NORTH BU,25 - Chicago / IL,272,198,26.1%,6.6%,16.6%,7.1%,0:26:49,0:28:30,0:30:16,0:30:01,0:25:29,0:23:45,56.4%,54.0%,-70.8%,11.8%,55.5%,12.6%,-18.4%,-2.3%,"1,893","2,045"
NORTH BU,25 - Chicago / IL,278,199,30.8%,13.5%,-0.3%,11.4%,0:23:22,0:23:47,0:31:21,0:29:29,0:22:49,0:24:14,43.9%,42.6%,-90.3%,-34.3%,31.7%,11.4%,-8.8%,23.6%,"2,162","2,084"
NORTH BU,25 - Chicago / IL,275,200,10.8%,4.5%,10.4%,0.8%,0:23:10,0:25:31,0:28:16,0:29:38,0:24:58,0:25:36,53.5%,51.2%,-22.8%,-37.8%,10.3%,3.8%,6.1%,1.6%,705,"1,254"
NORTH BU,40 - Missouri,341,201,3.8%,-4.6%,2.6%,5.4%,0:30:31,0:28:51,0:32:30,0:30:29,0:25:31,0:23:10,42.1%,45.0%,311.4%,168.5%,-2.7%,-10.2%,17.9%,20.4%,"2,005","1,672"
SOUTHWEST BU,05 - Dallas,51,202,-5.2%,-3.6%,-4.9%,-4.4%,0:15:32,0:19:53,0:36:31,0:35:44,0:25:23,0:26:42,75.0%,67.8%,-26.4%,-41.3%,-6.5%,-4.4%,-0.7%,3.3%,"1,763","2,057"
NORTH BU,41 - Indy / KY,253,204,-8.4%,-8.7%,2.3%,-3.1%,0:35:33,0:36:50,0:37:27,0:41:20,0:28:22,0:30:36,38.9%,37.3%,-60.0%,-60.1%,-8.2%,-10.6%,-8.3%,-11.3%,"2,483","2,532"
SOUTHEAST BU,11 - Memphis,138,205,7.7%,-1.3%,30.8%,7.1%,0:29:34,0:29:08,0:27:12,0:28:17,0:17:11,0:17:31,68.9%,58.0%,-25.7%,-9.9%,4.8%,-4.7%,5.6%,11.0%,977,"1,653"
SOUTHWEST BU,05 - Dallas,52,206,13.7%,11.4%,21.6%,16.8%,0:18:43,0:20:57,0:26:16,0:30:18,0:19:59,0:22:00,66.2%,66.9%,39.2%,153.3%,14.8%,8.8%,21.0%,16.1%,216,305
SOUTHWEST BU,05 - Dallas,76,211,11.2%,4.6%,4.0%,-2.6%,0:24:00,0:25:17,0:22:49,0:26:47,0:25:16,0:28:13,64.8%,51.4%,18.6%,-42.2%,6.1%,1.6%,7.5%,2.0%,"1,606","2,345"
SOUTHWEST BU,"44 - Oklahoma, N TX",353,212,-3.0%,-5.8%,-10.3%,-10.1%,0:29:22,0:29:58,0:36:09,0:33:36,0:25:33,0:24:56,81.5%,80.6%,-28.8%,-13.0%,7.5%,-3.8%,-18.9%,-15.0%,"2,405","2,409"
NORTH BU,25 - Chicago / IL,272,213,17.0%,14.0%,5.6%,6.3%,0:31:48,0:32:31,0:36:06,0:34:47,0:18:35,0:18:04,51.1%,56.5%,-65.4%,-38.4%,21.1%,14.1%,-4.0%,3.9%,"1,634","1,377"
SOUTHWEST BU,"13 - LA, MS",503,214,22.7%,12.9%,16.8%,16.2%,0:21:25,0:19:13,0:33:33,0:33:55,0:31:37,0:30:11,92.3%,89.1%,377.0%,8.5%,16.8%,12.1%,39.1%,32.8%,321,275
NORTH BU,41 - Indy / KY,271,216,-0.3%,-7.9%,-19.5%,-21.3%,0:47:50,0:47:31,0:38:12,0:34:59,0:37:47,0:35:06,35.8%,30.1%,-66.3%,-29.9%,1.8%,-2.2%,-24.2%,-26.6%,"2,484","2,514"
SOUTHWEST BU,05 - Dallas,53,217,21.8%,10.4%,6.8%,9.2%,0:15:45,0:17:10,0:31:05,0:34:45,0:20:48,0:20:58,63.7%,61.7%,-10.0%,29.0%,25.3%,12.1%,4.0%,5.3%,120,289
SOUTHEAST BU,11 - Memphis,147,218,0.3%,-2.9%,1.2%,0.0%,0:08:39,0:08:54,0:15:52,0:17:47,0:18:00,0:17:27,88.0%,86.8%,-66.8%,-42.3%,8.3%,-2.5%,-4.6%,0.1%,"1,785","1,845"
NORTH BU,40 - Missouri,336,219,12.4%,6.8%,-1.9%,4.7%,0:21:12,0:23:35,0:28:52,0:31:01,0:21:10,0:22:08,57.1%,58.0%,5.4%,9.8%,8.9%,8.5%,10.9%,8.5%,736,906
SOUTHWEST BU,05 - Dallas,48,220,8.6%,9.2%,7.2%,4.8%,0:20:09,0:19:05,0:52:06,0:51:12,0:23:42,0:25:42,63.8%,62.9%,-67.1%,-66.5%,11.1%,12.2%,7.3%,2.6%,712,451
SOUTHWEST BU,"44 - Oklahoma, N TX",344,221,21.0%,11.5%,10.5%,7.3%,0:19:13,0:16:42,0:29:56,0:29:52,0:25:05,0:23:15,73.6%,73.1%,32.2%,-4.0%,23.1%,3.5%,19.5%,16.9%,429,493
NORTH BU,41 - Indy / KY,271,222,9.4%,11.9%,14.3%,9.9%,0:17:10,0:16:39,0:30:16,0:31:24,0:32:32,0:32:48,71.7%,76.4%,-18.0%,28.5%,19.0%,12.9%,10.1%,8.0%,"1,822","1,438"
NORTH BU,25 - Chicago / IL,272,224,8.4%,1.7%,13.0%,5.0%,0:14:03,0:12:40,0:24:55,0:25:48,0:22:18,0:21:44,84.3%,81.1%,10.9%,1.6%,8.1%,-5.1%,10.9%,7.0%,"1,033","1,369"
SOUTHWEST BU,"44 - Oklahoma, N TX",47,226,16.9%,2.5%,5.7%,-0.9%,0:16:08,0:17:33,0:33:53,0:33:11,0:20:39,0:21:14,93.0%,86.9%,24.1%,11.6%,18.2%,0.9%,9.7%,2.7%,419,"1,356"
SOUTHWEST BU,"44 - Oklahoma, N TX",344,227,14.8%,7.4%,12.6%,4.9%,0:14:32,0:15:30,0:26:43,0:28:20,0:19:19,0:19:39,65.5%,73.2%,-1.9%,27.9%,22.9%,4.4%,18.0%,19.5%,783,"1,296"
SOUTHWEST BU,05 - Dallas,48,228,9.6%,1.1%,-2.6%,-2.0%,0:16:05,0:15:59,0:33:14,0:35:52,0:18:05,0:18:40,66.7%,70.4%,90.2%,-14.4%,21.4%,-2.7%,-4.5%,-2.5%,247,587
SOUTHWEST BU,"44 - Oklahoma, N TX",351,231,8.9%,6.9%,17.7%,14.7%,0:32:16,0:33:09,0:30:58,0:30:59,0:29:06,0:28:10,52.6%,53.4%,169.4%,89.8%,5.9%,5.4%,18.9%,-0.3%,"1,287","1,287"
NORTH BU,40 - Missouri,360,234,23.4%,9.4%,16.4%,11.0%,0:29:01,0:28:35,0:35:53,0:36:27,0:28:08,0:28:53,53.2%,58.3%,-53.3%,-47.8%,25.7%,7.4%,19.7%,14.3%,"1,093","1,470"
NORTH BU,41 - Indy / KY,271,237,13.8%,4.1%,4.9%,9.5%,0:30:43,0:26:56,0:30:35,0:31:29,0:27:58,0:26:06,63.6%,63.9%,-15.8%,-8.6%,7.3%,2.6%,0.0%,1.0%,"1,046",984
SOUTHEAST BU,11 - Memphis,147,238,17.8%,16.5%,15.8%,17.9%,0:15:19,0:15:56,0:27:46,0:27:58,0:23:05,0:23:59,71.7%,83.6%,80.9%,34.7%,6.9%,11.3%,18.3%,17.2%,264,206
NORTH BU,40 - Missouri,339,243,22.3%,20.4%,37.8%,35.4%,0:22:06,0:22:01,0:23:23,0:23:42,0:18:19,0:17:23,56.0%,55.8%,757.6%,207.7%,10.8%,12.8%,44.3%,40.5%,307,224
SOUTHWEST BU,"44 - Oklahoma, N TX",345,246,22.7%,12.9%,5.9%,9.0%,0:18:15,0:18:22,0:31:24,0:29:31,0:33:23,0:32:38,66.7%,57.9%,-32.9%,6.3%,33.0%,14.6%,-1.4%,1.5%,"1,915","1,818"
SOUTHWEST BU,05 - Dallas,76,248,22.7%,6.4%,15.1%,0.8%,0:33:51,0:36:10,0:28:10,0:29:37,0:32:18,0:31:34,47.2%,50.4%,47.3%,-45.2%,21.1%,2.2%,10.4%,-4.3%,"1,008","1,858"
SOUTHWEST BU,"13 - LA, MS",503,249,17.8%,3.8%,8.5%,-0.7%,0:25:07,0:30:46,0:44:30,0:44:47,0:32:45,0:35:29,71.4%,64.8%,-65.2%,-49.4%,32.9%,8.5%,13.9%,1.5%,924,"1,908"
SOUTHWEST BU,05 - Dallas,45,251,-0.8%,1.7%,4.8%,11.3%,0:11:42,0:11:40,0:32:23,0:31:57,0:16:53,0:16:30,80.6%,83.2%,-53.2%,-39.5%,-10.4%,-0.2%,0.6%,8.6%,757,369
NORTH BU,40 - Missouri,341,253,-6.3%,-4.9%,6.2%,4.4%,0:18:18,0:23:08,0:28:20,0:33:10,0:24:44,0:27:51,67.0%,62.3%,-25.3%,-12.1%,-7.6%,-7.2%,-6.4%,-1.7%,"2,066","2,277"
NORTH BU,25 - Chicago / IL,273,254,2.8%,2.0%,-14.0%,-8.8%,0:11:17,0:12:13,0:24:49,0:27:15,0:24:11,0:22:51,80.0%,79.9%,-43.9%,-26.9%,-2.5%,0.6%,-17.5%,-6.0%,"1,958","1,760"
NORTH BU,40 - Missouri,341,256,-4.4%,-9.1%,-8.9%,-9.2%,0:15:40,0:14:29,0:30:05,0:29:38,0:21:30,0:20:51,76.0%,74.7%,5.9%,-30.6%,-9.9%,-17.5%,-4.5%,-7.5%,"1,238","1,488"
SOUTHEAST BU,11 - Memphis,4,258,-2.9%,-5.1%,-9.5%,-6.6%,0:29:24,0:28:42,0:21:24,0:26:37,0:12:58,0:14:54,35.1%,37.8%,-33.9%,-5.8%,-3.9%,-9.8%,-2.5%,0.0%,"2,227","2,268"
SOUTHWEST BU,05 - Dallas,583,259,11.5%,12.1%,3.5%,9.3%,0:35:32,0:33:02,0:23:49,0:24:33,0:14:54,0:14:05,26.1%,31.2%,-83.0%,-64.5%,12.1%,16.9%,-0.9%,9.9%,"1,068",792
SOUTHWEST BU,05 - Dallas,55,260,5.9%,3.1%,0.3%,-1.5%,0:26:23,0:24:20,0:33:31,0:30:34,0:23:41,0:22:15,78.3%,76.6%,-27.5%,-24.0%,13.4%,3.8%,-0.1%,-1.4%,873,776
SOUTHEAST BU,"42 - AR, MO, LA",325,261,-1.4%,-0.2%,-1.4%,-2.1%,0:17:07,0:24:10,0:24:36,0:26:49,0:15:37,0:15:26,91.0%,86.6%,140.3%,43.7%,-13.9%,-4.2%,8.6%,3.5%,393,720
NORTH BU,41 - Indy / KY,271,262,17.1%,7.1%,12.0%,8.6%,0:21:38,0:23:53,0:27:53,0:28:36,0:20:52,0:22:15,66.1%,68.5%,-42.8%,-16.3%,19.9%,4.3%,7.9%,6.4%,"1,337","1,700"
SOUTHEAST BU,12 - Nashville,149,264,0.2%,-0.4%,11.0%,2.4%,0:38:33,0:36:24,0:43:00,0:41:48,0:27:28,0:27:10,59.9%,58.2%,-44.0%,-51.6%,-5.1%,-2.4%,3.9%,0.9%,"1,466","1,526"
SOUTHWEST BU,05 - Dallas,45,265,7.2%,1.7%,10.6%,13.3%,0:10:00,0:09:13,0:29:53,0:27:34,0:16:35,0:16:07,82.4%,75.0%,38.9%,102.1%,-2.6%,-11.4%,12.9%,18.6%,431,310
SOUTHWEST BU,05 - Dallas,50,266,-0.8%,5.8%,2.2%,7.7%,0:12:01,0:13:00,0:24:15,0:22:17,0:20:50,0:21:06,76.1%,73.6%,-31.7%,-29.8%,-9.5%,2.5%,1.5%,10.4%,"1,393",945
SOUTHEAST BU,"42 - AR, MO, LA",334,267,12.5%,8.8%,12.4%,8.9%,0:09:19,0:10:20,0:21:40,0:22:13,0:19:00,0:18:14,80.3%,85.6%,-26.8%,61.0%,14.1%,8.7%,9.7%,8.1%,484,359
SOUTHEAST BU,11 - Memphis,147,268,-0.8%,-0.9%,0.2%,-1.3%,0:25:26,0:22:41,0:27:36,0:26:50,0:27:37,0:24:23,68.1%,71.2%,-17.1%,-39.0%,-7.3%,-0.5%,-2.3%,-2.4%,"1,480","1,198"
SOUTHWEST BU,"44 - Oklahoma, N TX",349,269,-2.5%,1.2%,-3.7%,-0.7%,0:25:37,0:21:58,0:26:42,0:24:32,0:21:43,0:20:01,70.9%,77.9%,-24.1%,-28.7%,0.0%,4.5%,-5.0%,-3.7%,"2,305","1,710"
SOUTHEAST BU,12 - Nashville,153,272,14.9%,5.6%,11.6%,8.0%,0:44:59,0:36:11,0:39:36,0:36:26,0:32:00,0:31:33,36.3%,45.9%,16.0%,48.5%,12.9%,1.5%,11.2%,9.3%,"1,369","1,133"
SOUTHWEST BU,"13 - LA, MS",503,275,5.2%,-2.6%,3.6%,-1.1%,0:22:49,0:25:31,0:41:42,0:42:24,0:30:38,0:33:01,63.1%,61.0%,-3.0%,-29.1%,-7.8%,-7.9%,10.8%,4.6%,"1,591","2,151"
SOUTHWEST BU,"44 - Oklahoma, N TX",353,277,4.2%,-0.4%,16.4%,11.7%,0:15:56,0:13:43,0:34:16,0:33:12,0:22:33,0:21:35,49.6%,65.1%,-5.0%,18.6%,2.5%,-7.4%,15.6%,19.0%,"1,566","1,353"
SOUTHEAST BU,"42 - AR, MO, LA",127,278,1.1%,0.4%,18.8%,16.0%,0:14:37,0:14:09,0:23:38,0:26:27,0:18:52,0:18:09,76.4%,78.6%,1.1%,54.8%,-14.5%,-6.5%,12.3%,12.5%,"1,436","1,117"
NORTH BU,41 - Indy / KY,253,282,21.7%,8.1%,17.4%,-3.7%,0:30:54,0:34:27,0:35:46,0:40:01,0:34:24,0:37:08,48.1%,43.8%,6.2%,-31.5%,25.2%,12.2%,-0.7%,-9.0%,"1,509","2,343"
SOUTHWEST BU,05 - Dallas,49,284,0.3%,0.3%,-0.6%,-0.7%,0:30:41,0:28:17,0:29:59,0:35:00,0:19:16,0:19:34,64.6%,66.8%,6.5%,-0.2%,-5.7%,3.8%,-1.8%,-2.0%,740,529
SOUTHWEST BU,"13 - LA, MS",503,285,-1.8%,-3.9%,-3.0%,-1.5%,0:23:49,0:24:43,0:34:38,0:31:15,0:40:33,0:35:43,60.2%,58.8%,34.4%,76.6%,3.1%,-1.1%,0.3%,0.5%,"1,101","1,049"
SOUTHWEST BU,05 - Dallas,55,286,24.8%,15.6%,24.9%,25.3%,0:21:24,0:20:58,0:43:22,0:41:19,0:23:33,0:23:11,100.0%,97.6%,-22.4%,63.4%,19.5%,3.6%,17.3%,21.4%,84,98
SOUTHEAST BU,11 - Memphis,11,287,-5.3%,0.0%,-8.6%,-10.6%,0:30:00,0:31:46,0:34:27,0:37:22,0:34:34,0:31:11,56.7%,54.5%,-5.3%,-27.4%,0.1%,-2.9%,-12.1%,-9.6%,"2,220","2,043"
SOUTHWEST BU,"13 - LA, MS",503,288,12.0%,6.3%,5.7%,5.8%,0:05:40,0:05:30,0:30:21,0:27:15,0:28:54,0:26:48,86.4%,88.0%,-55.3%,4.8%,10.4%,1.9%,8.6%,13.8%,"1,191",956
