Store Number,Serial Number,SIM Status,SIM Last Update,Acquisition Date,Manufacturer name,Model,Caliber,Firearm type,Notes,UPC
150,20P4100582,Do Not Sell,3/17/2021 6:34:23 PM,2020-07-29T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
150,28A19-001046,Do Not Sell,12/23/2020 9:19:19 PM,2019-09-24T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,28 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150827
150,MN42148A,Do Not Sell,12/15/2018 12:14:05 AM,2018-03-15T12:00:00,THE MARLIN FIREARMS CO./MARLIN,60SB,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495076450
150,RS75504P,Do Not Sell,10/13/2018 10:38:33 PM,2014-01-20T12:00:00,REMINGTON ARMS CO./REMINGTON ARMS,870 SUPER MAG,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700250984
151,410s18-002571,Do Not Sell,10/12/2018 1:29:33 PM,2018-10-08T12:00:00,HATFIELD GUN CO./UTAS-USA,SGL,410 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004621
151,G6448019,Display Available,10/13/2018 2:25:07 AM,2007-04-10T12:00:00,REMINGTON ARMS CO,700,30-06 SPRG,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700273631
152,112S21-006851,Backroom Available,2/21/2022 5:29:43 PM,2022-02-21T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
153,12S21007739,Backroom Available,4/15/2022 2:21:57 PM,2022-04-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
153,201097D,Do Not Sell,10/17/2020 12:55:12 PM,2020-09-14T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
153,20A21007563,Backroom Available,4/7/2022 12:22:44 AM,2022-04-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
153,20P4100625,Do Not Sell,10/17/2020 12:53:10 PM,2020-07-28T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
153,20S21006336,Backroom Available,4/7/2022 12:14:32 AM,2022-04-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
153,211132F,Do Not Sell,7/3/2021 6:50:50 PM,2021-07-01T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
153,KW1902458,Do Not Sell,10/17/2020 12:53:25 PM,2019-09-19T12:00:00,KRAL (TURKEY)/TRISTAR,UPLAND HTR,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780980362
153,KW2007609,Do Not Sell,2/22/2021 1:00:30 AM,2021-02-04T12:00:00,KRAL (TURKEY)/TRISTAR,UPLAND HTR,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780980812
153,N473749,Do Not Sell,10/17/2020 12:54:25 PM,2020-01-08T12:00:00,SAVAGE ARMS INC.,AXIS,30/06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356224286
153,RR62680F,Do Not Sell,10/17/2020 12:52:57 PM,2015-04-30T12:00:00,REMINGTON ARMS COMPANY INC.,700,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700270937
153,RR94269F,Do Not Sell,10/17/2020 12:52:36 PM,2015-08-25T12:00:00,REMINGTON ARMS COMPANY INC.,700,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700270937
154,832-40349,Do Not Sell,10/22/2020 7:18:37 PM,2019-01-07T12:00:00,RUGER,AMERICAN,.22 MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",736676083237
154,V0963276,Do Not Sell,5/11/2019 5:50:09 PM,2018-12-22T12:00:00,Mossberg,500,410 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
155,40027,Backroom Available,6/16/2022 2:37:36 PM,2022-06-16T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654400278
155,H699644,Backroom Available,10/28/2020 8:04:51 PM,2012-09-28T12:00:00,SAVAGE ARMS,42,22 LR/410 GA,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356196668
155,H699645,Backroom Available,10/7/2018 4:02:14 PM,2012-09-28T12:00:00,SAVAGE ARMS INC.,42,22 LR/410 GA,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356196668
158,20S21-002650,Do Not Sell,12/15/2021 5:19:46 PM,2021-08-20T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004911
158,690-30703,Display Available,12/10/2018 7:47:54 PM,2012-08-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
158,690-65247,Display Available,10/6/2018 5:31:04 PM,2012-11-13T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
162,410A21009774,Backroom Available,1/26/2022 8:18:41 PM,2022-01-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
163,N030416,Do Not Sell,6/27/2020 1:55:20 PM,2018-07-25T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,A22,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654472268
165,40205,Backroom Available,4/30/2022 7:37:24 PM,2022-04-30T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654402050
168,10S21-005842,Backroom Available,2/10/2022 7:58:04 PM,2022-02-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
168,410S21=010838,Backroom Available,3/31/2022 4:41:11 PM,2022-03-31T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
169,12A21013347,Backroom Available,3/9/2022 8:33:12 PM,2022-03-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
169,12A21013348,Backroom Available,3/9/2022 8:41:57 PM,2022-03-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
170,20A20-000522,Do Not Sell,6/22/2020 3:19:16 PM,2020-05-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
173,KRA106224,Do Not Sell,5/11/2022 4:15:05 PM,2021-06-04T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780204246
173,P295783,Do Not Sell,5/11/2022 4:15:21 PM,2022-01-11T12:00:00,SAVAGE ARMS INC.,AXIS,30/06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571533
173,RS45483G,Display Available,5/27/2022 8:13:28 PM,2012-12-24T12:00:00,REMINGTON ARMS CO,870,20 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700811208
176,21PA12T-7901,Do Not Sell,3/30/2022 6:32:33 PM,2022-02-11T12:00:00,MERAK/CHIAPPA FIREARMS USA,301,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860007252105
176,410A22-000226,Do Not Sell,3/30/2022 6:32:20 PM,2022-02-10T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,410 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150810
176,RM24889F,Do Not Sell,4/19/2022 9:50:50 PM,2013-07-01T12:00:00,REMINGTON ARMS COMPANY,783,270 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700858340
185,20A20-001225,Do Not Sell,7/19/2021 6:50:57 PM,2020-09-30T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004904
185,20A21003425,Backroom Available,7/15/2021 3:46:29 PM,2021-07-15T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
186,690-32526,Backroom Available,10/16/2018 5:23:57 PM,2012-08-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
189,12A21-010154,Do Not Sell,1/15/2022 9:26:14 PM,2021-12-21T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
189,218920G,Do Not Sell,4/5/2022 1:51:33 PM,2021-06-07T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356232588
189,3631516,Do Not Sell,5/10/2021 7:45:00 PM,2020-12-08T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17,17 HMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654968020
189,3631517,Do Not Sell,12/31/2020 12:27:05 AM,2020-12-08T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17,17 HMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654968020
189,410S21-006727,Do Not Sell,4/5/2022 1:50:21 PM,2021-11-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004904
189,N155204,Do Not Sell,4/5/2022 1:54:03 PM,2018-11-23T12:00:00,SAVAGE ARMS INC.,AXIS,30/06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571533
190,410S21010583,Backroom Available,2/18/2022 5:06:13 PM,2022-02-18T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
192,12S21003821,Backroom Available,11/1/2021 4:58:32 PM,2021-11-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
192,20A21004209,Backroom Available,11/8/2021 5:41:06 PM,2021-11-08T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
192,20A21005171,Backroom Available,11/1/2021 4:49:24 PM,2021-11-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
195,3955638,Do Not Sell,3/29/2022 9:28:15 PM,2022-01-10T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,A22,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654472251
205,H914631,Do Not Sell,12/30/2020 10:09:00 PM,2013-04-03T12:00:00,SAVAGE ARMS,42,22 LR/410 GA,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356196668
209,12A21008065,Backroom Available,8/16/2021 8:02:20 PM,2021-08-16T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
211,20S21007067,Backroom Available,3/16/2022 4:27:43 PM,2022-03-16T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
211,20S21007068,Backroom Available,3/16/2022 4:28:43 PM,2022-03-16T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
219,3996465,Do Not Sell,2/12/2022 9:24:23 PM,2022-01-26T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,MARK II,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654207204
226,12S21007541,Backroom Available,3/15/2022 5:50:00 PM,2022-03-15T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
226,20S21005425,Backroom Available,1/26/2022 10:08:26 PM,2022-01-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
231,12S21-005690,Invalid,3/2/2022 10:23:54 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",851799004928
231,40202,Backroom Available,6/16/2022 4:55:14 PM,2018-02-28T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654402029
233,690-32483,Display Available,10/19/2018 10:27:05 PM,2012-08-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
233,MPR0232252,Do Not Sell,6/25/2021 2:43:18 PM,2020-08-07T12:00:00,MOSSBERG,PATRIOT,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813280037
237,N630959,Do Not Sell,1/24/2021 11:07:39 PM,2020-06-29T12:00:00,SAVAGE ARMS INC./&NBSP;,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221452
238,47225,Display Available,1/21/2022 7:21:39 PM,2021-12-07T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,A22,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654472251
243,210028E,Backroom Available,5/12/2021 4:51:09 PM,2021-05-12T12:00:00,STEVENS,320 YOUTH,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356194985
243,211711D,Backroom Available,12/28/2021 9:23:53 PM,2021-04-16T12:00:00,STEVENS,320 MUDDY GIRL SERENITY YOUTH,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (MUDDY|YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356222473
243,214054U,Backroom Available,1/3/2022 4:19:43 PM,2022-01-03T12:00:00,STEVENS,320 MUDDY GIRL SERENITY YOUTH,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (MUDDY|YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356222473
243,216892R,Backroom Available,1/3/2022 4:17:13 PM,2022-01-03T12:00:00,STEVENS,320 YOUTH,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356194985
243,21PA20V-1107,Display Available,12/28/2021 9:03:44 PM,2021-11-22T12:00:00,CHARLES DALY,301 CAMO,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (CAMO). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",860007252129
243,21PA20V-1346,Backroom Available,11/26/2021 6:42:35 PM,2021-11-26T12:00:00,CHARLES DALY,301 CAMO,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (CAMO). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",860007252129
243,21PA20V-1348,Backroom Available,1/4/2022 3:31:51 PM,2021-11-26T12:00:00,CHARLES DALY,301 CAMO,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (CAMO). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",860007252129
243,21PA20Z-5214,Backroom Available,12/10/2021 5:43:10 PM,2021-12-10T12:00:00,CHARLES DALY,301 WOOD,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (WOOD). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",860007252136
243,21PA20Z-6051,Backroom Available,12/17/2021 5:52:01 PM,2021-12-17T12:00:00,CHARLES DALY,301 WOOD,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (WOOD). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",860007252136
243,410A22000236,Backroom Available,2/11/2022 6:27:40 PM,2022-02-11T12:00:00,HATFIELD/UTAS,SAS,410 GAUGE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",860001150810
243,410S21009766,Backroom Available,1/27/2022 5:47:59 PM,2022-01-27T12:00:00,HATFIELD,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
243,53-H21PT-000878,Display Available,12/28/2021 8:37:23 PM,2021-11-22T12:00:00,CHARLES DALY,301 WOOD,12 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (WOOD). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",860007252105
243,MV0790133,Backroom Available,3/14/2022 4:54:11 PM,2022-03-14T12:00:00,MAVERICK,88 YOUTH,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",049533322029
